Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.731366784068841,-5.731366784068841
House=Price Growth %,1.7406299198414936,1.7406299198414936
%=CQC Good,1.245667622208743,-1.245667622208743
Percent=65plus,1.1146754563977679,-1.1146754563977679
%=CQC Inadequate,0.2212803593903857,-0.2212803593903857
Total=Population,0.19496103104654322,-0.19496103104654322
%=CQC Outstanding,0.17961366182068345,0.17961366182068345
GDHI=per head 2022,0.12489172723276887,0.12489172723276887
Care=Homes per 10k,0.11901063448280516,0.11901063448280516
%=CQC NotRated,0.0,0.0
