Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.3945322136271163,3.3945322136271163
%=CQC RequiresImprovement,2.510589636947163,-2.510589636947163
%=CQC Good,0.9142961526870554,-0.9142961526870554
Percent=65plus,0.7626911722092965,0.7626911722092965
%=CQC Outstanding,0.1934683721975714,0.1934683721975714
Care=Homes per 10k,0.17845557243253346,0.17845557243253346
Total=Population,0.12376657704153834,-0.12376657704153834
%=CQC Inadequate,0.08850237281650727,-0.08850237281650727
GDHI=per head 2022,0.07990209929124607,0.07990209929124607
%=CQC NotRated,0.0,0.0
