Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,1.7645129190983568,-1.7645129190983568
Percent=65plus,1.0055653013276302,1.0055653013276302
%=CQC Good,0.28420274511236754,-0.28420274511236754
%=CQC Inadequate,0.17443478486955546,-0.17443478486955546
%=CQC Outstanding,0.16875594724246165,0.16875594724246165
Total=Population,0.16642812326159445,-0.16642812326159445
House=Price Growth %,0.08759068479903238,0.08759068479903238
Care=Homes per 10k,0.03863316819650083,0.03863316819650083
GDHI=per head 2022,0.017271838958267786,-0.017271838958267786
%=CQC NotRated,0.0,0.0
