Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.450962213092396,-5.450962213092396
House=Price Growth %,3.4364431199878247,3.4364431199878247
%=CQC Good,1.3506913720003892,-1.3506913720003892
Percent=65plus,0.7005770228049689,0.7005770228049689
%=CQC Outstanding,0.2634743076864288,0.2634743076864288
%=CQC Inadequate,0.22812766907700022,-0.22812766907700022
GDHI=per head 2022,0.20202105461140138,-0.20202105461140138
Care=Homes per 10k,0.12264105165498806,0.12264105165498806
Total=Population,0.06023850308751611,-0.06023850308751611
%=CQC NotRated,0.0,0.0
