LAD_name,Investment_Potential_Score,Top1_Feature,Top1_Dir,Top1_SignedSHAP,Top2_Feature,Top2_Dir,Top2_SignedSHAP,Top3_Feature,Top3_Dir,Top3_SignedSHAP
Bury,15.708880873240403,%=CQC RequiresImprovement,↓,-6.969406943029592,House=Price Growth %,↑,3.591581994752472,%=CQC Good,↓,-1.0061036965672518
Calderdale,13.916488136327072,House=Price Growth %,↑,3.790750439139029,%=CQC RequiresImprovement,↓,-2.224781345134142,%=CQC Good,↓,-0.7893673426400216
Cambridge,4.621630081200888,%=CQC RequiresImprovement,↓,-7.803651786914154,House=Price Growth %,↓,-4.7309519291186914,%=CQC Good,↓,-2.007435295011874
Camden,8.592220793562499,%=CQC RequiresImprovement,↑,11.633949537656676,House=Price Growth %,↓,-7.790318477679413,%=CQC Good,↑,2.2287246360317527
Cannock Chase,10.780139837863956,%=CQC RequiresImprovement,↑,6.221959408776423,House=Price Growth %,↓,-1.690082231983847,%=CQC Good,↑,0.6725329730016205
Canterbury,11.845618913098075,%=CQC RequiresImprovement,↑,3.297692189341164,House=Price Growth %,↓,-1.0905733961071438,%=CQC Inadequate,↑,0.6269848007217871
Castle Point,15.53798297942542,%=CQC RequiresImprovement,↑,7.285152038969472,House=Price Growth %,↑,2.401439068900448,Percent=65plus,↑,0.7136269207390952
Central Bedfordshire,11.840142834080734,%=CQC RequiresImprovement,↑,3.791624139975149,House=Price Growth %,↓,-1.037559390174821,%=CQC Inadequate,↑,0.6322846240736475
Charnwood,17.97514296342946,House=Price Growth %,↑,5.21208996308896,%=CQC RequiresImprovement,↑,3.412895807009056,%=CQC Good,↓,-0.9570769642129608
Chelmsford,8.786748216776418,House=Price Growth %,↓,-2.8336373758528524,%=CQC Good,↓,-0.3623411449930285,%=CQC Inadequate,↓,-0.2132440650697438
Cheltenham,10.349475152337096,%=CQC RequiresImprovement,↓,-3.803118151011597,House=Price Growth %,↓,-2.5685574042742267,%=CQC Inadequate,↓,-0.2577066308422908
Cherwell,13.540082276508803,%=CQC RequiresImprovement,↓,-8.44630330980153,House=Price Growth %,↑,3.330128038678656,%=CQC Good,↓,-1.0804329163023418
Cheshire East,16.199008672002897,House=Price Growth %,↑,3.8469759708029474,%=CQC RequiresImprovement,↑,3.644907999158585,%=CQC Good,↓,-0.5792969378536512
Cheshire West And Chester,,%=CQC RequiresImprovement,↑,4.853435552759981,House=Price Growth %,↓,-1.6758521585785504,%=CQC Inadequate,↑,0.8999045134512196
Chesterfield,15.225851482561062,%=CQC RequiresImprovement,↑,4.467139348291952,House=Price Growth %,↑,3.478091940541816,Percent=65plus,↑,0.3133361572637954
Chichester,14.470962397824056,%=CQC RequiresImprovement,↓,-4.2277271855226095,Percent=65plus,↑,1.2469513327991706,%=CQC Good,↓,-1.093790273744537
Chorley,14.977826945888555,%=CQC RequiresImprovement,↑,3.182256124197963,House=Price Growth %,↑,3.093144167373899,%=CQC Good,↓,-0.7736719847452489
Colchester,11.441241308310929,%=CQC RequiresImprovement,↑,3.1571276255131027,%=CQC Inadequate,↑,1.015663322553246,House=Price Growth %,↑,0.3830612850454932
Cornwall,17.222729030127184,House=Price Growth %,↑,3.7532803040756746,Percent=65plus,↑,0.6232586364758711,%=CQC RequiresImprovement,↓,-0.5759040417757366
Cotswold,17.79666792858448,%=CQC RequiresImprovement,↑,3.615511941012676,House=Price Growth %,↑,3.080499598497574,%=CQC Good,↓,-0.7768728601535378
County Durham,3.2511312199180296,House=Price Growth %,↓,-9.06092692552908,%=CQC RequiresImprovement,↓,-6.612328396581815,Total=Population,↓,-0.5367948882394202
Coventry,7.042983881687471,%=CQC RequiresImprovement,↑,10.00212860480271,House=Price Growth %,↓,-4.340861665840244,%=CQC Good,↑,2.619389316585388
