Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.2976921893411637,3.2976921893411637
House=Price Growth %,1.0905733961071438,-1.0905733961071438
%=CQC Inadequate,0.6269848007217871,0.6269848007217871
%=CQC Good,0.5197473653661133,-0.5197473653661133
Percent=65plus,0.4349524201444577,0.4349524201444577
Care=Homes per 10k,0.33241274419830386,0.33241274419830386
GDHI=per head 2022,0.24208725378890608,0.24208725378890608
%=CQC Outstanding,0.1847292744570402,0.1847292744570402
Total=Population,0.14294323091290514,-0.14294323091290514
%=CQC NotRated,0.0,0.0
