LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential,Investment_Grade
E07000137,East Lindsey,145371.0,30.96,88.0,6.0534769658322505,2.33,74.42,23.26,0.0,0,19807,0.37,3.2455715448748386,0,Consider
E07000138,Lincoln,103314.0,15.11,32.0,3.0973536984339005,6.25,59.38,34.38,0.0,0,16215,20.31,8.689853054765084,0,Good
E07000139,North Kesteven,121203.0,23.73,56.0,4.620347681163008,10.71,73.21,16.07,0.0,0,20318,7.12,-0.9387478478255497,0,Avoid
E07000140,South Holland,97915.0,24.19,30.0,3.063881938415973,3.33,66.67,30.0,0.0,0,19391,17.96,8.771732290762397,0,Good
E07000141,South Kesteven,145758.0,23.57,31.0,2.1268129365112034,9.68,77.42,12.9,0.0,0,22864,0.54,-4.161878059523319,0,Avoid
E07000142,West Lindsey,97880.0,25.57,42.0,4.290968532897425,9.52,61.9,28.57,0.0,0,21580,6.61,5.831645279934613,0,Consider
E07000143,Breckland,145081.0,25.4,58.0,3.9977667647727824,8.62,53.45,27.59,10.34,0,19999,15.74,13.538515014715918,1,Good
E07000144,Broadland,135565.0,25.93,60.0,4.425921144838269,5.0,58.33,35.0,1.67,0,22208,11.03,11.537088171725738,1,Good
E07000145,Great Yarmouth,100065.0,24.63,35.0,3.497726477789437,2.86,54.29,40.0,2.86,0,18815,25.04,17.364408971668418,1,Good
E07000146,King's Lynn and West Norfolk,155758.0,26.36,41.0,2.632288550186828,2.44,60.98,31.71,4.88,0,20369,-0.88,8.504193282528023,0,Good
E07000147,North Norfolk,103228.0,34.18,59.0,5.715503545549657,5.08,61.02,32.2,1.69,0,21953,18.32,14.187275531832448,1,Good
E07000148,Norwich,145591.0,14.97,29.0,1.9918813662932464,10.34,51.72,34.48,3.45,0,17993,-5.46,4.273232204943986,0,Consider
E07000149,South Norfolk,146655.0,24.56,44.0,3.0002386553475846,2.27,79.55,13.64,4.55,0,22787,14.45,3.078585798302134,0,Consider
E07000170,Ashfield,128360.0,19.91,63.0,4.908071050171393,4.76,82.54,9.52,3.17,0,17016,14.47,-1.642389342474292,0,Avoid
E07000171,Bassetlaw,122286.0,22.26,48.0,3.925224473774594,6.25,62.5,31.25,0.0,0,19662,43.61,15.38158367106619,1,Good
E07000172,Broxtowe,113172.0,21.83,35.0,3.092637754921713,11.43,51.43,31.43,5.71,0,19700,-24.97,1.317895663238256,0,Consider
E07000173,Gedling,118563.0,21.86,34.0,2.867673726204634,2.94,85.29,11.76,0.0,0,20690,19.94,-0.2523489410693074,0,Avoid
E07000174,Mansfield,112091.0,19.75,38.0,3.3901026844260467,13.16,78.95,7.89,0.0,0,17950,12.38,-5.348484597336093,0,Avoid
E07000175,Newark and Sherwood,126168.0,22.84,39.0,3.0911166064295226,7.69,76.92,15.38,0.0,0,22051,15.4,0.7153174909644306,0,Consider
