District,ROI (%),ROI_Group,2020,2021,2022,2023,2024
CITY OF PLYMOUTH,11.97,Mid ROI,279789.24,285156.25,347138.86,347827.55,313266.08
CITY OF WESTMINSTER,4.32,Low ROI,9309402.76,10054517.12,10038199.85,8900558.67,9711825.08
COLCHESTER,6.7,Mid ROI,409717.76,432769.49,461066.82,455707.37,437168.39
CONWY,15.78,Mid ROI,246041.68,271585.02,284696.0,284147.98,284859.92
COPELAND,14.17,Mid ROI,194265.85,211885.94,212809.44,221797.07,
CORBY,61.7,Top ROI,284299.71,459701.48,,,
CORNWALL,16.99,Mid ROI,366143.59,417836.75,462312.71,456805.45,428358.95
COTSWOLD,16.4,Mid ROI,648759.62,697063.59,818717.47,804408.88,755144.95
COUNTY DURHAM,-29.25,Low ROI,293738.32,219500.96,223406.44,232913.18,207814.68
COVENTRY,-13.67,Low ROI,477291.92,431994.57,655187.17,495508.14,412062.08
CRAVEN,36.69,Top ROI,383451.6,390169.22,419553.78,524131.14,
CRAWLEY,-28.49,Low ROI,840495.44,687718.27,1120456.82,718285.15,601049.97
CROYDON,7.24,Mid ROI,687160.03,741548.4,899603.52,1051984.44,736926.76
CUMBERLAND,-15.15,Low ROI,303408.24,283737.42,401497.32,258430.62,257451.29
DACORUM,2.7,Low ROI,734392.66,753419.04,872341.08,773244.29,754240.6
DARLINGTON,-12.94,Low ROI,294538.76,244178.37,247108.52,262652.27,256429.27
DARTFORD,-28.92,Low ROI,718395.18,688366.4,556010.89,742133.41,510660.0
DAVENTRY,0.15,Low ROI,404453.23,405047.14,,,
DENBIGHSHIRE,22.94,Top ROI,209965.9,307837.03,257013.77,268500.5,258127.57
DERBYSHIRE DALES,12.44,Mid ROI,385981.56,408604.5,461231.65,436394.12,433999.02
DONCASTER,11.84,Mid ROI,209964.6,242240.38,228074.37,241884.31,234816.04
DORSET,7.38,Mid ROI,442882.64,478143.85,517273.37,523215.8,475571.51
DOVER,11.68,Mid ROI,377435.56,428807.34,446434.6,425350.15,421513.74
DUDLEY,18.27,Mid ROI,260135.26,265527.45,282867.58,286564.06,307674.89
EALING,-13.4,Low ROI,1295620.07,1148549.23,1442047.09,1418381.85,1122026.58
EAST CAMBRIDGESHIRE,6.35,Mid ROI,409018.54,392391.83,428778.03,448959.12,435000.7
EAST DEVON,12.48,Mid ROI,435873.83,438546.32,487765.97,493597.57,490260.35
EAST HAMPSHIRE,4.81,Mid ROI,614693.4,613936.48,684016.4,654013.82,644285.13
EAST HERTFORDSHIRE,-0.08,Low ROI,660971.3,687750.14,718698.76,691882.05,660436.19
