District,ROI (%),ROI_Group,2020,2021,2022,2023,2024
TUNBRIDGE WELLS,-27.49,Low ROI,974452.14,748561.18,755217.6,757994.2,706586.94
UTTLESFORD,4.64,Mid ROI,603103.98,634817.27,665811.44,636008.08,631108.7
VALE OF WHITE HORSE,-2.65,Low ROI,548784.44,634937.41,636512.51,589977.64,534250.48
WAKEFIELD,-3.75,Low ROI,285336.5,299195.89,308070.2,294164.24,274622.48
WALSALL,5.72,Mid ROI,261699.92,293550.77,278313.81,314649.89,276678.89
WALTHAM FOREST,-11.87,Low ROI,771752.45,728891.38,824440.7,926569.64,680113.58
WANDSWORTH,0.51,Low ROI,1602396.49,2768816.4,2055593.55,1652626.77,1610554.03
WARRINGTON,28.06,Top ROI,341178.41,420651.93,401849.51,427765.81,436919.81
WARWICK,-5.35,Low ROI,621461.65,519693.83,528899.42,535695.61,588216.75
WATFORD,20.07,Mid ROI,719209.36,860854.55,883498.39,794386.49,863535.13
WAVERLEY,9.83,Mid ROI,768316.08,831526.68,923509.24,886087.08,843857.57
WEALDEN,6.72,Mid ROI,515665.87,570087.42,595453.36,588185.48,550319.76
WELLINGBOROUGH,-9.89,Low ROI,321855.51,290030.23,,,
WELWYN HATFIELD,-0.04,Low ROI,787094.22,728980.24,953734.63,947192.01,786812.54
WEST BERKSHIRE,12.09,Mid ROI,595521.94,581631.95,636655.96,720764.35,667547.99
WEST DEVON,11.99,Mid ROI,367197.4,433787.39,430721.43,450475.49,411218.27
WEST LANCASHIRE,28.9,Top ROI,269591.53,364013.14,352545.52,386492.76,347500.13
WEST LINDSEY,6.69,Mid ROI,268451.07,275488.19,306901.22,298398.08,286413.69
WEST NORTHAMPTONSHIRE,-43.66,Low ROI,844758.71,423315.48,684613.96,479875.19,475969.08
WEST OXFORDSHIRE,19.22,Mid ROI,532156.44,635780.19,621590.61,600158.73,634432.11
WEST SUFFOLK,-32.27,Low ROI,585393.21,412825.79,495494.92,434859.43,396482.46
WESTMORLAND AND FURNESS,-26.85,Low ROI,485668.47,333689.78,421450.05,383269.68,355290.32
WIGAN,0.48,Low ROI,244484.7,254064.8,248388.48,257714.12,245668.99
WILTSHIRE,5.35,Mid ROI,437818.44,454423.78,500688.35,485030.39,461249.21
WINCHESTER,4.99,Mid ROI,686845.97,749119.3,751894.56,758911.47,721114.27
WINDSOR AND MAIDENHEAD,10.76,Mid ROI,949805.94,932047.65,1004379.53,997621.02,1052024.18
WIRRAL,9.3,Mid ROI,281945.83,307749.13,362169.83,309949.95,308162.98
WOKING,15.96,Mid ROI,682813.86,851628.57,966082.54,796781.35,791791.73
WOKINGHAM,0.16,Low ROI,633891.31,611580.71,708420.58,642367.22,634919.39
WOLVERHAMPTON,26.82,Top ROI,221819.64,259622.85,1069419.17,303021.88,281307.01
WORCESTER,-12.25,Low ROI,461549.14,354928.67,345879.45,391906.86,405013.29
WORTHING,12.28,Mid ROI,456294.95,499458.32,542568.21,484944.78,512327.46
WREKIN,8.38,Mid ROI,279375.83,286896.16,305432.37,282942.75,302794.98
WREXHAM,18.28,Mid ROI,226770.36,351811.25,292365.38,275291.12,268232.07
WYCHAVON,13.52,Mid ROI,422021.57,422580.53,469816.39,459089.14,479063.34
WYRE,11.02,Mid ROI,233108.1,261428.67,271256.36,282290.48,258790.46
WYRE FOREST,5.4,Mid ROI,320351.09,325937.56,361024.5,359352.94,337655.06
YORK,44.64,Top ROI,384422.08,440669.03,451548.9,534050.72,556010.94
