LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential
E07000181,West Oxfordshire,119331.0,22.04,30.0,2.514015637177263,6.67,76.67,16.67,0.0,0,28583,11.35312756718695,7.679334237373328,1
E07000192,Cannock Chase,102838.0,19.67,24.0,2.33376767342811,4.17,66.67,29.17,0.0,0,18225,4.11379945954652,7.571265015900847,1
E07000193,East Staffordshire,127637.0,19.08,52.0,4.074053761840219,3.85,78.85,17.31,0.0,0,19203,-7.574623244464779,1.3674022531598364,0
E07000194,Lichfield,110173.0,23.93,29.0,2.632223866101495,0.0,68.97,31.03,0.0,0,24765,-18.051709400714085,4.888156229736703,0
E07000195,Newcastle-under-Lyme,128060.0,21.33,38.0,2.967359050445104,2.63,76.32,21.05,0.0,0,19836,18.383634336911182,9.532412441794564,1
E07000196,South Staffordshire,113088.0,25.63,29.0,2.5643746462931523,3.45,93.1,3.45,0.0,0,23710,4.736555132908105,2.395294980171,0
E07000197,Stafford,140677.0,23.2,46.0,3.269901974025605,6.52,63.04,30.43,0.0,0,22155,11.105225590743451,11.194041693789703,1
E07000198,Staffordshire Moorlands,95785.0,26.84,29.0,3.0276139270240643,0.0,44.83,48.28,6.9,0,20962,11.94953362960881,19.848825496455813,1
E07000199,Tamworth,80263.0,19.3,13.0,1.6196753173940672,0.0,76.92,23.08,0.0,0,18159,18.48367096554469,9.33671903899528,1
E07000200,Babergh,95872.0,26.99,29.0,3.0248664886515355,0.0,89.29,10.71,0.0,0,24841,27.446155955875177,11.001918962266524,1
E07000202,Ipswich,139378.0,17.0,27.0,1.937178033836043,15.38,65.38,11.54,7.69,0,18240,-3.522859099612842,1.3968619301721974,0
E07000203,Mid Suffolk,108029.0,25.48,24.0,2.2216256745873797,8.33,58.33,25.0,8.33,0,22826,18.471238032126884,14.328453359219823,1
E07000207,Elmbridge,140500.0,18.26,33.0,2.3487544483985765,3.03,72.73,24.24,0.0,0,44307,7.021486015543172,10.439234671145575,1
E07000208,Epsom and Ewell,81989.0,18.1,24.0,2.9272219444071763,4.17,87.5,8.33,0.0,0,29476,3.104171366909243,2.4520261333883866,0
E07000209,Guildford,149176.0,17.21,30.0,2.0110473534616826,3.45,72.41,24.14,0.0,0,32201,-1.6839697909369746,6.082814655285008,1
E07000210,Mole Valley,88266.0,24.3,37.0,4.19187456098611,2.7,75.68,21.62,0.0,0,35330,2.511175574299252,8.982075077722728,1
E07000211,Reigate and Banstead,155985.0,17.97,79.0,5.064589543866397,6.49,71.43,22.08,0.0,0,29893,-8.42895109569203,3.928400657656951,0
E07000212,Runnymede,90442.0,17.12,19.0,2.100793878950045,0.0,84.21,15.79,0.0,0,28789,-21.13569277673121,-1.633454112340297,0
E07000213,Spelthorne,103954.0,17.96,18.0,1.7315351020643746,11.11,66.67,16.67,5.56,0,26351,-17.699629272374402,0.3899729472160542,0
E07000214,Surrey Heath,92168.0,20.37,38.0,4.122905997743252,0.0,94.74,5.26,0.0,0,30451,-7.635285278845955,-0.0522354200500014,0
E07000215,Tandridge,89409.0,21.21,41.0,4.585668109474438,2.44,75.61,12.2,9.76,0,31686,0.2726514086408719,7.276413068581384,1
E07000216,Waverley,132146.0,22.13,53.0,4.010715420822423,5.77,75.0,19.23,0.0,0,36306,3.407188773645463,7.912304506534729,1
E07000217,Woking,104636.0,17.02,26.0,2.484804465002485,3.85,84.62,11.54,0.0,0,29827,9.691816927394225,4.793224901598928,0
E07000218,North Warwickshire,66166.0,22.1,25.0,3.77837560076172,0.0,80.0,20.0,0.0,0,20460,-0.0389041660709119,5.151030298596531,0
E07000219,Nuneaton and Bedworth,137794.0,19.1,37.0,2.685167714123982,0.0,78.38,21.62,0.0,0,18577,9.505886396837674,6.826796756328017,1
E07000220,Rugby,118781.0,18.0,31.0,2.609845008881892,3.23,77.42,19.35,0.0,0,21409,16.19090270573301,7.794052427765536,1
E07000221,Stratford-on-Avon,141929.0,25.53,48.0,3.3819726764790845,4.17,81.25,14.58,0.0,0,29741,-4.766536543519044,4.3248117655921,0
E07000222,Warwick,153153.0,18.84,40.0,2.6117673176496705,2.5,85.0,12.5,0.0,0,25770,-4.838449918353451,1.3826526180590877,0
